source,date,content,category,engagement_score,industry,deployment_scale,source_url,cleaned_text,tokens,token_string,aspect
IEEE Xplore,2024-01-01,"5G networks enable sub-20ms latency required for motion-sickness-free XR experiences, supporting 100+ concurrent AR users in industrial environments.",5G_6G_Connectivity,703,Manufacturing,500+ users,https://ieeexplore.ieee.org/document/10634054/,g networks enable sublatency latency required for motionsicknessfree xr experiences supporting concurrent ar users in industrial environments,"['network', 'enable', 'sublatency', 'latency', 'required', 'motionsicknessfree', 'experience', 'supporting', 'concurrent', 'user', 'industrial', 'environment']",network enable sublatency latency required motionsicknessfree experience supporting concurrent user industrial environment,5G/6G Connectivity
Nokia Bell Labs,2024-01-02,"Private 5G deployments eliminate Wi-Fi interference in metal-heavy factories, guaranteeing consistent bandwidth for XR fleet operations.",5G_6G_Connectivity,610,Healthcare,10-50 users,https://www.nokia.com/bell-labs/,private g deployments eliminate wifi interference in metalheavy factories guaranteeing consistent bandwidth for xr fleet operations,"['private', 'deployment', 'eliminate', 'wifi', 'interference', 'metalheavy', 'factory', 'guaranteeing', 'consistent', 'bandwidth', 'fleet', 'operation']",private deployment eliminate wifi interference metalheavy factory guaranteeing consistent bandwidth fleet operation,5G/6G Connectivity
Verizon 5G Labs,2024-01-03,"Network slicing in 5G Edge allocates dedicated bandwidth for XR workloads, preventing video streaming from degrading AR performance.",5G_6G_Connectivity,840,Manufacturing,500+ users,https://www.verizon.com/business/products/5g/,network slicing in g edge allocates dedicated bandwidth for xr workloads preventing video streaming from degrading ar performance,"['network', 'slicing', 'edge', 'allocates', 'dedicated', 'bandwidth', 'workload', 'preventing', 'video', 'streaming', 'degrading', 'performance']",network slicing edge allocates dedicated bandwidth workload preventing video streaming degrading performance,5G/6G Connectivity
Nokia Bell Labs,2024-01-04,"6G research promises 1Gbps sustained bandwidth per XR device, enabling real-time photorealistic hologram transmission.",5G_6G_Connectivity,724,Retail,500+ users,https://www.nokia.com/bell-labs/,g research promises gbps sustained bandwidth per xr device enabling realtime photorealistic hologram transmission,"['research', 'promise', 'gbps', 'sustained', 'bandwidth', 'per', 'device', 'enabling', 'realtime', 'photorealistic', 'hologram', 'transmission']",research promise gbps sustained bandwidth per device enabling realtime photorealistic hologram transmission,5G/6G Connectivity
Nokia Bell Labs,2024-01-05,"Multi-access Edge Computing (MEC) with 5G reduces latency from 100ms (cloud) to 5ms (edge), critical for surgical training XR.",5G_6G_Connectivity,892,Entertainment,50-200 users,https://www.nokia.com/bell-labs/,multiaccess edge computing mec with g reduces latency from latency cloud to latency edge critical for surgical training xr,"['multiaccess', 'edge', 'computing', 'mec', 'reduces', 'latency', 'latency', 'cloud', 'latency', 'edge', 'critical', 'surgical', 'training']",multiaccess edge computing mec reduces latency latency cloud latency edge critical surgical training,5G/6G Connectivity
Qualcomm Blog,2024-01-06,"Ericsson's 5G standalone architecture supports 10,000+ XR devices per cell site through dynamic spectrum sharing.",5G_6G_Connectivity,390,Manufacturing,500+ users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,ericssons g standalone architecture supports xr devices per cell site through dynamic spectrum sharing,"['ericssons', 'standalone', 'architecture', 'support', 'device', 'per', 'cell', 'site', 'dynamic', 'spectrum', 'sharing']",ericssons standalone architecture support device per cell site dynamic spectrum sharing,5G/6G Connectivity
Verizon 5G Labs,2024-01-07,"Qualcomm Snapdragon XR2+ chips optimize 5G modem integration, reducing battery drain by 40% during cloud rendering.",5G_6G_Connectivity,713,Manufacturing,50-200 users,https://www.verizon.com/business/products/5g/,qualcomm snapdragon xr chips optimize g modem integration reducing battery drain by percentage during cloud rendering,"['qualcomm', 'snapdragon', 'chip', 'optimize', 'modem', 'integration', 'reducing', 'battery', 'drain', 'percentage', 'cloud', 'rendering']",qualcomm snapdragon chip optimize modem integration reducing battery drain percentage cloud rendering,5G/6G Connectivity
Verizon 5G Labs,2024-01-08,Verizon 5G Ultra Wideband tested 500 concurrent VR users at NFL stadium with zero frame drops during live events.,5G_6G_Connectivity,245,Healthcare,500+ users,https://www.verizon.com/business/products/5g/,verizon g ultra wideband tested concurrent vr users at nfl stadium with zero frame drops during live events,"['verizon', 'ultra', 'wideband', 'tested', 'concurrent', 'user', 'nfl', 'stadium', 'zero', 'frame', 'drop', 'live', 'event']",verizon ultra wideband tested concurrent user nfl stadium zero frame drop live event,5G/6G Connectivity
Verizon 5G Labs,2024-01-09,"O-RAN architecture enables vendor-agnostic 5G deployments, reducing infrastructure costs for enterprise XR rollouts.",5G_6G_Connectivity,883,Healthcare,200-500 users,https://www.verizon.com/business/products/5g/,oran architecture enables vendoragnostic g deployments reducing infrastructure costs for enterprise xr rollouts,"['oran', 'architecture', 'enables', 'vendoragnostic', 'deployment', 'reducing', 'infrastructure', 'cost', 'enterprise', 'rollouts']",oran architecture enables vendoragnostic deployment reducing infrastructure cost enterprise rollouts,5G/6G Connectivity
Nokia Bell Labs,2024-01-10,Wi-Fi 6E struggles with 50+ simultaneous XR users due to shared spectrum; private 5G scales to 500+ users linearly.,5G_6G_Connectivity,634,Retail,200-500 users,https://www.nokia.com/bell-labs/,wifi e struggles with simultaneous xr users due to shared spectrum private g scales to users linearly,"['wifi', 'struggle', 'simultaneous', 'user', 'due', 'shared', 'spectrum', 'private', 'scale', 'user', 'linearly']",wifi struggle simultaneous user due shared spectrum private scale user linearly,5G/6G Connectivity
