source,date,content,category,engagement_score,industry,provisioning_time_reduction_pct,source_url
Boeing Tech,2024-01-01,"VMware Workspace ONE treats XR headsets as standard endpoints, enabling centralized MDM for 10,000+ Meta Quest devices.",Mobile_Device_Management,692,Manufacturing,78,https://www.boeing.com/innovation/innovation-quarterly
Microsoft Intune,2024-01-02,"Microsoft Intune XR profiles enforce security policies, automatically wiping enterprise data when headset leaves geofence.",Mobile_Device_Management,213,Defense,81,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/what-is-intune
Okta Resources,2024-01-03,Scalability bottleneck: manual provisioning takes 15 minutes per headset; SSO with Okta reduces onboarding to 30 seconds.,Mobile_Device_Management,139,Manufacturing,91,https://www.okta.com/products/device-access/
Microsoft Intune,2024-01-04,"Fleet management at Boeing: over-the-air updates deployed to 5,000 HoloLens 2 devices overnight without technician intervention.",Mobile_Device_Management,400,Logistics,62,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/what-is-intune
JAMF Blog,2024-01-05,Biometric authentication (iris scanning) eliminates password friction; workers don XR glasses and authenticate in 2 seconds.,Mobile_Device_Management,323,Healthcare,87,https://www.jamf.com/blog/mastering-mobile-device-management-with-jamf/
Microsoft Intune,2024-01-06,JAMF Pro MDM extended to support Apple Vision Pro enterprise deployments with automated app distribution and compliance reporting.,Mobile_Device_Management,417,Enterprise IT,69,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/what-is-intune
Microsoft Intune,2024-01-07,"XR kiosk mode locks devices to single-purpose apps, preventing factory workers from installing games on $3500 training headsets.",Mobile_Device_Management,448,Enterprise IT,94,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/what-is-intune
JAMF Blog,2024-01-08,"Zero-touch provisioning: headsets ship pre-configured; worker unboxes, connects to Wi-Fi, and SSO auto-authenticates to corporate directory.",Mobile_Device_Management,214,Defense,88,https://www.jamf.com/blog/mastering-mobile-device-management-with-jamf/
Boeing Tech,2024-01-09,"Conditional access policies block XR device usage outside approved locations, preventing IP theft of 3D CAD models.",Mobile_Device_Management,422,Manufacturing,74,https://www.boeing.com/innovation/innovation-quarterly
Boeing Tech,2024-01-10,Telemetry dashboards in MDM track XR battery health across fleet; proactive replacement before device failure in critical operations.,Mobile_Device_Management,667,Defense,92,https://www.boeing.com/innovation/innovation-quarterly
