source,source_type,compound,pos,neu,neg,label
https://www.washingtonpost.com/technology/2024/02/12/apple-vision-pro-review/,Blog,-0.1779,0.099,0.783,0.119,negative
https://www.npr.org/2023/10/09/1204637576/meta-quest-3-review-vr-headset,Blog,0.9299,0.408,0.592,0.0,positive
https://blogs.nvidia.com/blog/ai-digital-twins-industrial-automation-demo/,Blog,0.128,0.067,0.933,0.0,positive
https://www.roadtovr.com/report-sony-psvr-2-pauses-production-low-sales/,Blog,-0.4023,0.0,0.856,0.144,negative
https://www.cnbc.com/2024/10/02/nvidia-spatial-ai-the-omniverse-next-big-thing.html,Blog,0.0,0.0,1.0,0.0,neutral
https://techcrunch.com/2023/09/22/unity-u-turns-on-controversial-runtime-fee-and-begs-forgiveness/,Blog,0.0387,0.166,0.673,0.161,neutral
https://venturebeat.com/games/bmw-group-starts-global-rollout-of-nvidia-omniverse/,Blog,0.6249,0.242,0.758,0.0,positive
https://www.cnbc.com/2024/06/03/microsoft-confirms-mixed-reality-layoffs-will-keep-selling-hololens-2.html,Blog,0.0,0.0,1.0,0.0,neutral
https://techcrunch.com/2024/10/16/metas-ai-chief-says-world-models-are-key-to-human-level-ai-but-it-might-be-10-years-out/,Blog,0.0516,0.11,0.787,0.102,positive
https://www.bloomberg.com/news/articles/2024-03-18/sony-hits-pause-on-psvr2-production-as-unsold-inventory-piles-up,Blog,0.0772,0.058,0.942,0.0,positive
https://www.pcgamer.com/meta-quest-3-review/,Blog,0.4588,0.13,0.87,0.0,positive
https://stratechery.com/2024/the-apple-vision-pro/,Blog,0.472,0.185,0.815,0.0,positive
https://sixcolors.com/post/2024/02/apple-vision-pro-review-eyes-on-the-future/,Blog,0.34,0.167,0.833,0.0,positive
https://www.xrtoday.com/reviews/meta-quest-3-review-hands-on-with-the-quest-3/,Blog,0.0,0.0,1.0,0.0,neutral
https://www.xrtoday.com/mixed-reality/microsoft-retains-hololens-2-commitment-in-2024/,Blog,0.2732,0.116,0.884,0.0,positive
https://www.ibm.com/think/news/world-models-smarter-ai,Blog,0.0,0.091,0.817,0.091,neutral
https://blogs.nvidia.com/blog/nvidia-bmw-factory-future/,Blog,0.0,0.0,1.0,0.0,neutral
https://www.techpowerup.com/327285/microsoft-discontinues-hololens-2-shifts-mixed-reality-strategy,Blog,0.4019,0.124,0.876,0.0,positive
